feature,mean_abs_shap
domain_age_days,2.804328
time_since_last_email_hrs,1.5628786
url_length,1.5605551
hour_sent,1.040743
path_length,1.027506
num_hyphens,0.46819717
email_frequency_per_day,0.12469032
num_subdomains,0.11769529
tfidf_confirm,0.10478611
tfidf_verify,0.08877791
has_https,0.08075192
tfidf_click,0.065569066
tfidf_password,0.057574283
tfidf_suspend,0.05307921
tfidf_urgent,0.039718553
tfidf_update,0.03503468
tfidf_login,0.028367272
tfidf_secure,0.0075910706
num_dots,0.007276474
num_slashes,0.0057267803
tfidf_winner,0.005525698
has_ip_address,0.004581025
suspicious_tld,0.0026377693
tfidf_limited,0.00210122
tfidf_customer,0.0015254326
tfidf_account,0.0006372299
day_of_week,0.0
has_at_symbol,0.0
tfidf_dear,0.0
tfidf_bank,0.0
tfidf_paypal,0.0
tfidf_offer,0.0
tfidf_free,0.0
tfidf_expire,0.0
tfidf_immediately,0.0
